Time,Actual,Explicit Euler,Simpletic Euler
0.74499947,150.0,150.0,150.0
0.74999946,150.0,150.0,150.0
0.75499946,150.0,150.0,150.0
0.75999945,150.0,150.0,150.0
0.76499945,150.0,150.0,150.0
0.76999944,150.0,150.0,150.0
0.77499944,150.0,150.0,150.0
0.77999943,150.0,150.0,150.0
0.78499943,150.0,150.0,150.0
0.7899994,150.0,150.0,150.0
0.7949994,150.0,150.0,150.0
0.7999994,150.0,148.5099,148.5099
0.8049994,149.01003,147.5198,147.5198
0.8099994,148.01993,146.52971,146.52971
0.8149994,147.02983,145.53961,145.53961
0.8199994,146.03972,144.54951,144.54951
0.8249994,145.04962,143.55942,143.55942
0.8299994,144.05952,142.56932,142.56932
0.8349994,143.06943,141.57922,141.57922
0.8399994,142.07933,140.58913,140.58913
0.8449994,141.08923,139.59903,139.59903
0.84999937,140.09914,138.60893,138.60893
0.85499936,139.10904,137.61884,137.61884
0.85999936,138.11893,136.62874,136.62874
0.86499935,137.12883,135.63864,135.63864
0.86999935,136.13873,134.64854,134.64854
0.87499934,135.14864,133.65845,133.65845
0.87999934,134.15854,132.66835,132.66835
0.88499933,133.16844,131.67825,131.67825
0.88999933,132.17834,130.68816,130.68816
0.8949993,131.18823,129.69806,129.69806
0.8999993,130.19815,128.70796,128.70796
0.9049993,129.20804,127.717865,127.717865
0.9099993,128.21794,126.72777,126.72777
0.9149993,127.227844,125.73767,125.73767
0.9199993,126.23775,124.747574,124.747574
0.9249993,125.24765,123.75748,123.75748
0.9299993,124.25755,122.76738,122.76738
0.9349993,123.26745,121.77728,121.77728
0.9399993,122.27734,120.787186,120.787186
0.9449993,121.28725,119.79709,119.79709
0.9499993,120.29718,118.80699,118.80699
0.95499927,119.30708,117.816895,117.816895
0.95999926,118.316986,116.8268,116.8268
0.96499926,117.32689,115.8367,115.8367
0.96999925,116.336784,114.8466,114.8466
0.97499925,115.34669,113.85651,113.85651
0.97999924,114.35658,112.86641,112.86641
0.98499924,113.366486,111.87631,111.87631
0.98999923,112.37639,110.886215,110.886215
0.99499923,111.38629,111.86736,111.86736
0.9999992,110.396194,112.85746,112.85746
1.0049993,110.59393,113.84756,113.84756
1.0099993,111.58401,114.837654,114.837654
1.0149993,112.574104,115.82775,115.82775
1.0199993,113.56421,116.81785,116.81785
1.0249993,114.554306,117.807945,117.807945
1.0299993,115.5444,118.79804,118.79804
1.0349993,116.5345,119.78814,119.78814
1.0399992,117.5246,120.77824,120.77824
1.0449992,118.5147,121.76833,121.76833
1.0499992,119.5048,122.75843,122.75843
1.0549992,120.494896,123.74853,123.74853
1.0599992,121.485,124.738625,124.738625
1.0649992,122.4751,122.79764,122.79764
1.0699992,123.465195,120.85665,120.85665
1.0749992,121.661896,118.915665,118.915665
1.0799992,119.72092,116.97468,116.97468
1.0849992,117.77992,115.03369,115.03369
1.0899992,115.83894,113.092705,113.092705
1.0949992,113.89801,111.15172,111.15172
1.0999992,111.95703,109.21073,109.21073
1.1049992,110.01604,111.15065,111.15065
1.1099992,111.92494,113.09164,113.09164
1.1149992,113.86594,115.03262,115.03262
1.1199992,115.806915,116.97361,116.97361
1.1249992,117.7479,118.9146,118.9146
1.1299992,116.352295,116.099594,116.099594
1.1349992,113.53729,113.28459,113.28459
1.1399992,110.72229,110.46959,110.46959
1.1449991,112.09271,107.65459,107.65459
1.1499991,114.907715,110.46959,110.46959
1.1549991,114.25423,113.28459,113.28459
1.1599991,110.6767,116.099594,116.099594
1.1649991,112.90084,112.522064,112.522064
1.1699991,113.46755,108.944534,108.944534
1.1749991,110.73083,112.522064,112.522064
1.1799991,113.97024,116.099594,116.099594
1.1849991,110.68272,111.901215,111.901215
1.1899991,112.865944,107.702835,107.702835
1.1949991,112.05731,111.901215,111.901215
1.1999991,110.95691,116.099594,116.099594
1.2049991,113.98056,111.44664,111.44664
1.2099991,110.89537,106.793686,106.793686
1.2149991,112.724785,111.44664,111.44664
1.2199991,111.83539,116.099594,116.099594
1.2249991,112.985306,111.17634,111.17634
1.2299991,111.07852,106.25308,106.25308
1.2349991,115.14234,111.17634,111.17634
1.239999,112.02835,105.18932,105.18932
1.244999,111.378174,110.1879,110.1879
1.249999,114.7847,115.18647,115.18647
1.254999,115.33963,110.31054,110.31054
1.259999,112.72531,105.43461,105.43461
1.264999,110.110985,110.31054,110.31054
1.269999,112.503334,115.18647,115.18647
1.274999,115.11766,110.6263,110.6263
1.279999,117.73198,106.06612,106.06612
1.284999,118.34748,110.6263,110.6263
1.289999,116.62891,115.18648,115.18648
1.294999,114.910385,111.12265,111.12265
1.299999,113.1918,107.05882,107.05882
1.304999,111.473236,111.12265,111.12265
1.309999,110.245346,115.18648,115.18648
1.314999,111.96392,111.779945,111.779945
1.319999,113.682495,108.37341,108.37341
1.324999,115.40108,111.779945,111.779945
1.329999,117.11965,115.18648,115.18648
1.334999,118.83823,111.6658,111.6658
1.339999,120.5568,109.05148,109.05148
1.344999,122.275375,111.66526,111.66526
1.349999,123.99396,114.27958,114.27958
1.354999,125.71253,116.8939,116.8939
1.359999,125.389206,119.50822,119.50822
1.3649989,124.63444,117.78964,117.78964
1.3699989,123.87967,116.07107,116.07107
1.3749989,123.1249,114.35249,114.35249
1.3799989,122.37013,112.63392,112.63392
1.3849989,121.615364,110.915344,110.915344
1.3899989,120.860596,109.19677,109.19677
1.3949989,120.10583,110.91279,110.91279
1.3999989,119.35106,112.63136,112.63136
1.4049989,118.59629,114.34994,114.34994
1.4099989,117.84152,116.06851,116.06851
1.4149989,117.08675,117.78709,117.78709
1.4199989,116.331985,119.50566,119.50566
1.4249989,115.57721,121.224236,121.224236
1.4299989,114.82245,122.94281,122.94281
1.4349989,114.06767,124.661385,124.661385
1.4399989,113.31291,126.37996,126.37996
1.4449989,112.558136,125.62519,125.62519
1.4499989,111.80339,124.87042,124.87042
1.4549989,111.04863,124.115654,124.115654
1.4599988,110.29385,123.360886,123.360886
1.4649988,110.46091,122.60612,122.60612
1.4699988,111.21568,121.85135,121.85135
1.4749988,111.97044,121.09658,121.09658
1.4799988,112.72522,120.34181,120.34181
1.4849988,113.47998,119.58704,119.58704
1.4899988,114.23476,118.832275,118.832275
1.4949988,114.98952,118.07751,118.07751
1.4999988,115.74429,117.32274,117.32274
1.5049988,116.49906,116.56797,116.56797
1.5099988,117.25383,115.8132,115.8132
1.5149988,118.0086,115.05843,115.05843
1.5199988,118.76337,114.303665,114.303665
1.5249988,119.518135,113.5489,113.5489
1.5299988,120.2729,112.79413,112.79413
1.5349988,121.02767,112.03936,112.03936
1.5399988,121.78244,111.28459,111.28459
1.5449988,122.53721,110.52982,110.52982
1.5499988,123.29198,109.775055,109.775055
1.5549988,124.046745,109.02029,109.02029
1.5599988,124.80151,109.7717,109.7717
1.5649987,125.55628,110.52647,110.52647
1.5699987,126.31105,111.281235,111.281235
1.5749987,127.06582,112.036,112.036
1.5799987,127.82059,112.79077,112.79077
1.5849987,128.57535,113.54554,113.54554
1.5899987,129.33012,114.30031,114.30031
1.5949987,130.0849,115.05508,115.05508
1.5999987,130.83966,115.809845,115.809845
1.6049987,131.59442,116.56461,116.56461
1.6099987,132.3492,117.31938,117.31938
1.6149987,133.10394,118.07415,118.07415
1.6199987,133.85872,118.82892,118.82892
1.6249987,134.61348,119.58369,119.58369
1.6299987,135.36826,120.338455,120.338455
1.6349987,136.12302,121.09322,121.09322
1.6399987,136.87779,121.84799,121.84799
1.6449987,137.63255,122.60276,122.60276
1.6499987,138.38733,123.35753,123.35753
1.6549987,139.14209,124.1123,124.1123
1.6599987,139.89687,124.867065,124.867065
1.6649987,140.65163,125.62183,125.62183
1.6699986,141.4064,126.3766,126.3766
1.6749986,142.16116,127.13137,127.13137
1.6799986,142.91594,127.88614,127.88614
1.6849986,143.6707,128.64091,128.64091
1.6899986,144.42548,129.39569,129.39569
1.6949986,145.18024,130.15047,130.15047
1.6999986,145.93501,130.90524,130.90524
1.7049986,146.68977,131.66002,131.66002
1.7099986,147.44455,132.4148,132.4148
